id,country,replied_to_tweet_id,replied_to_user_id,reply_text,tweet_text,tweet_lang,text_en,mentions,tweet_date,tweet_emoticons,hashtags,tweet_urls,text_es,text_hi,verified,sa
1465393556709806081,Mexico,1465304536998895623,151968088,Ntp tu ya vas a estar en la crcel as que no te afectara jajajajaja Dejanos a nosotros lidiar con eso...tu preocupate por presentar tu defensa jajajaja,Ntp tu ya vas a estar en la crcel as que no te afectara jajajajaja Dejanos a nosotros lidiar con eso...tu preocupate por presentar tu defensa jajajaja,es,,['RicardoAnayaC'],2021-11-29T19:00:00Z,,,,Ntp tu ya vas a estar en la crcel as que no te afectara jajajajaja Dejanos a nosotros lidiar con eso...tu preocupate por presentar tu defensa jajajaja,,,0.10000000000000002
1465390907574923266,Mexico,1455157688023851013,151968088,Payaso es lo que eres,Payaso es lo que eres,es,,['RicardoAnayaC'],2021-11-29T19:00:00Z,,,,Payaso es lo que eres,,,0.0
1465387286183436295,Mexico,1465304536998895623,151968088,"Amigos, yo creo hay que ser honestos, no hay que negarlo, el PRI y el PAN, defraudaron mucho, no digo que Ricardo Anaya hubiese sido un mejor presidente, eso nadie lo sabe, pero hay que dejarnos del pasado, lo que est haciendo MORENA, es grave, estn pasando por encima de la","Amigos, yo creo hay que ser honestos, no hay que negarlo, el PRI y el PAN, defraudaron mucho, no digo que Ricardo Anaya hubiese sido un mejor presidente, eso nadie lo sabe, pero hay que dejarnos del pasado, lo que est haciendo MORENA, es grave, estn pasando por encima de la",es,,['RicardoAnayaC'],2021-11-29T18:00:00Z,,,,"Amigos, yo creo hay que ser honestos, no hay que negarlo, el PRI y el PAN, defraudaron mucho, no digo que Ricardo Anaya hubiese sido un mejor presidente, eso nadie lo sabe, pero hay que dejarnos del pasado, lo que est haciendo MORENA, es grave, estn pasando por encima de la",,,-0.10555555555555556
1465386714545938441,Mexico,1465304536998895623,151968088,As se protege el patrimonio del pueblo as se defienden los bienes de la nacin de rateros sinvergenzas corruptos del prian como t y muchos otros ms que vendieron a Mxico,As se protege el patrimonio del pueblo as se defienden los bienes de la nacin de rateros sinvergenzas corruptos del prian como t y muchos otros ms que vendieron a Mxico,es,,['RicardoAnayaC'],2021-11-29T18:00:00Z,,,,As se protege el patrimonio del pueblo as se defienden los bienes de la nacin de rateros sinvergenzas corruptos del prian como t y muchos otros ms que vendieron a Mxico,,,0.0
1465386658254184449,Mexico,1465304536998895623,151968088,"Los chairos no entienden todo lo que aqu se explica, lo nico que saben es estirar la mano para pedir o para que les den.Son tan p3nd3jos que piensan que el presidentito ladrn solo roba a los ricos. Cada vez que compras algo un buen porcentaje de lo que pagas son impuestos!","Los chairos no entienden todo lo que aqu se explica, lo nico que saben es estirar la mano para pedir o para que les den.Son tan p3nd3jos que piensan que el presidentito ladrn solo roba a los ricos. Cada vez que compras algo un buen porcentaje de lo que pagas son impuestos!",es,,['RicardoAnayaC'],2021-11-29T18:00:00Z,['xp'],,,"Los chairos no entienden todo lo que aqu se explica, lo nico que saben es estirar la mano para pedir o para que les den.Son tan p3nd3jos que piensan que el presidentito ladrn solo roba a los ricos. Cada vez que compras algo un buen porcentaje de lo que pagas son impuestos!",,,0.2125
1465385828885086219,Mexico,1465304536998895623,151968088,TU QUE PEDO CON TU DE ? DA LA CARA PUAL.,TU QUE PEDO CON TU DE ? DA LA CARA PUAL.,es,,['RicardoAnayaC'],2021-11-29T18:00:00Z,,,,TU QUE PEDO CON TU DE ? DA LA CARA PUAL.,,,0.0
1465381905398784011,Mexico,1465304536998895623,151968088,"Anya de hueva, y ms pattico su papel de Don Honrado. el delincuente hablando de leyes!!!","Anya de hueva, y ms pattico su papel de Don Honrado. el delincuente hablando de leyes!!!",es,,['RicardoAnayaC'],2021-11-29T18:00:00Z,,,,"Anya de hueva, y ms pattico su papel de Don Honrado. el delincuente hablando de leyes!!!",,,-0.25
1465380312217796615,Mexico,1465304536998895623,151968088,Holi,Holi,es,,['RicardoAnayaC'],2021-11-29T18:00:00Z,,,,Holi,,,0.0
1465376112238895115,Mexico,1465304536998895623,151968088,"Comentario chairo: a mi qu, yo ni pago impuestos y recibo mis varos cada meses pa' mis chelas","Comentario chairo: a mi qu, yo ni pago impuestos y recibo mis varos cada meses pa' mis chelas",es,,['RicardoAnayaC'],2021-11-29T18:00:00Z,,,,"Comentario chairo: a mi qu, yo ni pago impuestos y recibo mis varos cada meses pa' mis chelas",,,0.0
1465375541553348608,Mexico,1465304536998895623,151968088,Ven al pais a presentar tus videos.,Ven al pais a presentar tus videos.,es,,['RicardoAnayaC'],2021-11-29T18:00:00Z,,,,Ven al pais a presentar tus videos.,,,0.0
1465374134435786759,Mexico,1465304536998895623,151968088,Sigamos en la Lucha Ricardo!,Sigamos en la Lucha Ricardo!,es,,['RicardoAnayaC'],2021-11-29T18:00:00Z,['👍🏼'],,,Sigamos en la Lucha Ricardo!,,,0.0
1465373506472927241,Mexico,1465304536998895623,151968088,Correcto a parar las atrocidades de este perverso !!,Correcto a parar las atrocidades de este perverso !!,es,,['RicardoAnayaC'],2021-11-29T18:00:00Z,,,,Correcto a parar las atrocidades de este perverso !!,,,0.4464285714285714
1465370957409931271,Mexico,1465304536998895623,151968088,"Calla y regresa la lana, tal vez asi te crea un poco","Calla y regresa la lana, tal vez asi te crea un poco",es,,['RicardoAnayaC'],2021-11-29T17:00:00Z,,,,"Calla y regresa la lana, tal vez asi te crea un poco",,,-0.1875
1465367227755110406,Mexico,1465304536998895623,151968088,Otra vez este miserable ya cllate mentiroso de porquera,Otra vez este miserable ya cllate mentiroso de porquera,es,,['RicardoAnayaC'],2021-11-29T17:00:00Z,,,,Otra vez este miserable ya cllate mentiroso de porquera,,,-0.6
1465366883310333955,Mexico,1465304536998895623,151968088,"a este Canallin Borrachin NO se le cree nada,, deja trabajar a los que si trabajan. dejaron un pais casi vendido, no tienes la moral de hablar, cuando tu iniciaste la privatizar PEMEX en concubinato con PEA NIETO de que la GALLINA DE ORO SE HABIA EXTINGUIDO. Terco que eres.","a este Canallin Borrachin NO se le cree nada,, deja trabajar a los que si trabajan. dejaron un pais casi vendido, no tienes la moral de hablar, cuando tu iniciaste la privatizar PEMEX en concubinato con PEA NIETO de que la GALLINA DE ORO SE HABIA EXTINGUIDO. Terco que eres.",es,,['RicardoAnayaC'],2021-11-29T17:00:00Z,,,,"a este Canallin Borrachin NO se le cree nada,, deja trabajar a los que si trabajan. dejaron un pais casi vendido, no tienes la moral de hablar, cuando tu iniciaste la privatizar PEMEX en concubinato con PEA NIETO de que la GALLINA DE ORO SE HABIA EXTINGUIDO. Terco que eres.",,,0.15
1465366284116234244,Mexico,1465304536998895623,151968088,"No seas estupido, las dictaduras no duran aos.","No seas estupido, las dictaduras no duran aos.",es,,['RicardoAnayaC'],2021-11-29T17:00:00Z,,,,"No seas estupido, las dictaduras no duran aos.",,,-0.39999999999999997
1465363837331415040,Mexico,1465304536998895623,151968088,El presidente hace y desahace de Mxico total nadie le pone un hasta aqu parece que no hay instituciones que se apeguen a la ley para defender a Mxico y a los Mexicanos las voces que denuncian las callan porque el poder y las necedades del presidente pesan ms que ley.,El presidente hace y desahace de Mxico total nadie le pone un hasta aqu parece que no hay instituciones que se apeguen a la ley para defender a Mxico y a los Mexicanos las voces que denuncian las callan porque el poder y las necedades del presidente pesan ms que ley.,es,,['RicardoAnayaC'],2021-11-29T17:00:00Z,,,,El presidente hace y desahace de Mxico total nadie le pone un hasta aqu parece que no hay instituciones que se apeguen a la ley para defender a Mxico y a los Mexicanos las voces que denuncian las callan porque el poder y las necedades del presidente pesan ms que ley.,,,0.0
1465363684780351489,Mexico,1465304536998895623,151968088,"Qu?? Piensas que vas a ganar la presidencia y planeas apropiartelos?? Jajajaja jajajaja que chinga que les acomod AMLO a ustedes ambiciosos, no tienen llenadera, ridculo hombrecito.","Qu?? Piensas que vas a ganar la presidencia y planeas apropiartelos?? Jajajaja jajajaja que chinga que les acomod AMLO a ustedes ambiciosos, no tienen llenadera, ridculo hombrecito.",es,,['RicardoAnayaC'],2021-11-29T17:00:00Z,,,,"Qu?? Piensas que vas a ganar la presidencia y planeas apropiartelos?? Jajajaja jajajaja que chinga que les acomod AMLO a ustedes ambiciosos, no tienen llenadera, ridculo hombrecito.",,,0.20583333333333337
1465363002530484232,Mexico,1465304536998895623,151968088,Wey ya!!!!! No tienes la autoridad moral para opinar. Traidor!!!!,Wey ya!!!!! No tienes la autoridad moral para opinar. Traidor!!!!,es,,['RicardoAnayaC'],2021-11-29T17:00:00Z,,,,Wey ya!!!!! No tienes la autoridad moral para opinar. Traidor!!!!,,,0.0
1465361509312303113,Mexico,1465304536998895623,151968088,"Antes eras gracioso ahora ya solo das cringe, lo bueno es que es enero te vas bien alv","Antes eras gracioso ahora ya solo das cringe, lo bueno es que es enero te vas bien alv",es,,['RicardoAnayaC'],2021-11-29T17:00:00Z,,,,"Antes eras gracioso ahora ya solo das cringe, lo bueno es que es enero te vas bien alv",,,0.31666666666666665
1465361385060290567,Mexico,1465304536998895623,151968088,Cuando vivas en Mxico entonces opina,Cuando vivas en Mxico entonces opina,es,,['RicardoAnayaC'],2021-11-29T17:00:00Z,,,,Cuando vivas en Mxico entonces opina,,,0.13636363636363635
1465360031508054017,Mexico,1465304536998895623,151968088,El problema no es Lpez el problema es la ley de Mxico que es ambigua y permite ese tipo de cosas.,El problema no es Lpez el problema es la ley de Mxico que es ambigua y permite ese tipo de cosas.,es,,['RicardoAnayaC'],2021-11-29T17:00:00Z,,,,El problema no es Lpez el problema es la ley de Mxico que es ambigua y permite ese tipo de cosas.,,,0.3
1465358005138911234,Mexico,1465304536998895623,151968088,"Digan lo que quieran de Anaya, el seor tiene razn","Digan lo que quieran de Anaya, el seor tiene razn",es,,['RicardoAnayaC'],2021-11-29T17:00:00Z,,,,"Digan lo que quieran de Anaya, el seor tiene razn",,,0.2857142857142857
